yearID,teamID,franchID,SB_D,CS_D,SB_R,CS_R,SF_H,HBP_H,ERA,HBP_P,ER,CG,SHO,SF_P,RA,WSWin,R,AB,H,2B,3B,HR,BB,SO,Rank,G,Ghome,L,D,FP,Attendence,BPF,PPF,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,OPS,WHIP,W
2016,HH,DJ,124,66,64,38,41,91,5.76,76,827,1,2,59,6.32,0,826,5109,1478,242,27,142,634,976,7,144,72,75,3,0.977,851417.0,0.988420581,0.9983989409999999,24,3878,1520,155,634,976,124,229,0.8055913677573576,1.6663228468282618,66
2016,HT,GJ,136,49,101,50,45,87,4.97,59,705,7,5,54,5.54,0,803,4999,1429,264,28,170,561,965,5,144,72,73,1,0.9790000000000001,682444.0,0.968570135,0.966442572,38,3828,1456,131,561,965,111,219,0.8167884806757557,1.5807210031347962,70
2016,KT,SW,115,55,96,46,45,48,5.92,84,838,1,2,45,6.55,0,672,4963,1369,214,11,116,560,980,10,144,72,89,2,0.976,549125.0,0.974651495,1.006297695,27,3819,1593,145,560,980,130,264,0.7455419032464167,1.6912804399057344,53
2016,LG,SO,80,49,121,70,54,72,5.04,109,721,2,5,56,5.64,0,786,5051,1464,238,26,118,539,909,4,144,72,71,2,0.981,782121.0,0.982177325,0.984621712,34,3863,1426,122,539,909,103,217,0.7803591955476117,1.5260160497023039,71
2016,LT,BS,90,59,145,64,41,83,5.63,78,792,2,5,52,6.15,0,777,5001,1439,252,20,127,585,1009,8,144,72,78,0,0.983,1157646.0,0.976492996,0.987212058,27,3799,1486,161,585,1009,91,229,0.7913172882061066,1.6354303764148461,66
2016,NC,MS,70,43,99,41,52,93,4.48,86,640,0,10,40,4.83,0,857,5007,1457,249,19,169,516,1147,2,144,72,58,3,0.981,865194.0,0.962746144,0.942484105,36,3859,1314,137,516,1147,100,221,0.8140730711654354,1.4226483544959836,83
2016,OB,SO,82,44,85,45,68,86,4.45,77,636,2,7,51,4.77,1,935,5044,1504,284,25,183,498,982,1,144,72,50,1,0.986,1165020.0,1.018589135,0.9872090790000001,36,3863,1385,136,498,982,79,261,0.8398085610671038,1.4623349728190524,93
2016,SK,IC,106,64,89,60,47,102,4.87,76,689,1,5,48,5.54,0,753,5023,1464,234,19,182,527,945,6,144,72,75,0,0.978,660472.0,1.05887278,1.0627692290000001,31,3822,1386,151,527,945,123,234,0.8215675867845951,1.5015698587127158,69
2016,SS,DG,115,58,104,50,55,75,5.64,87,804,2,4,43,6.1,0,852,5093,1492,249,34,142,518,935,9,144,72,78,1,0.983,852639.0,1.029008979,1.0309873040000002,34,3847,1507,193,518,935,90,213,0.8020147671016361,1.5791525864309852,65
2016,WO,SO,98,60,154,83,59,63,4.96,68,705,0,4,59,5.32,0,813,4990,1464,254,39,134,435,895,3,144,72,66,1,0.983,773499.0,1.0491963340000001,1.042615662,38,3841,1487,152,435,895,94,223,0.7941856671699266,1.501171569903671,77
2017,HH,DJ,78,42,64,44,38,94,5.28,100,747,1,5,57,5.8,0,737,5030,1445,261,16,150,446,914,8,144,72,81,2,0.983,704857.0,0.985498518,0.99628483,31,3819,1474,166,446,914,91,127,0.7889486901699645,1.5082482325216024,61
2017,HT,GJ,69,45,76,34,56,89,4.79,77,687,5,5,46,5.18,1,906,5142,1554,292,29,170,434,985,1,144,72,56,1,0.982,686541.0,1.009721873,0.9888714479999999,33,3870,1518,137,434,985,98,130,0.8325155515198464,1.5131782945736434,87
2017,KT,SW,109,43,86,51,45,66,5.75,95,803,4,7,49,6.28,0,655,4937,1360,274,17,119,433,913,10,144,72,94,0,0.9790000000000001,531121.0,1.030386187,1.0594574509999999,22,3768,1524,174,433,913,112,117,0.74933980228973,1.5581210191082802,50
2017,LG,SO,62,37,77,56,55,101,4.3,102,611,4,6,54,4.76,0,699,4944,1390,216,20,110,379,1040,6,144,72,72,3,0.981,699380.0,0.9163104459999999,0.91297957,32,3837,1305,124,379,1040,103,105,0.7409795329150254,1.3166536356528538,69
2017,LT,BS,87,45,92,44,32,112,4.56,79,652,1,10,50,4.9,0,743,4994,1425,250,17,151,477,1096,3,144,72,62,2,0.9840000000000001,1134846.0,1.103649472,1.0992686090000001,39,3862,1357,162,477,1096,86,112,0.7916016049178872,1.424650440186432,80
2017,NC,MS,64,42,93,32,48,130,4.71,93,673,1,10,29,5.22,0,786,5079,1489,277,19,149,470,1097,4,144,72,62,3,0.98,892541.0,1.012657863,1.007356554,32,3854,1342,169,470,1097,108,116,0.8079608812506762,1.4104826154644525,79
2017,OB,SO,64,36,69,33,47,95,4.38,87,627,3,9,39,4.74,0,849,5102,1499,270,20,178,464,956,2,144,72,57,3,0.983,1094829.0,0.922012352,0.901126043,35,3864,1405,125,464,956,90,113,0.8197782751147784,1.451086956521739,84
2017,SK,IC,80,39,53,42,41,113,5.02,105,709,2,4,36,5.43,0,761,4925,1337,222,15,234,481,940,5,144,72,68,1,0.98,593251.0,0.9979741440000001,0.998743653,30,3812,1443,154,481,940,108,125,0.8124798232480006,1.514165792235047,75
