yearID,teamID,franchID,SB_D,CS_D,SB_R,CS_R,SF_H,HBP_H,ERA,HBP_P,ER,CG,SHO,SF_P,RA,WSWin,R,AB,H,2B,3B,HR,BB,SO,Rank,G,Ghome,L,D,FP,Attendence,BPF,PPF,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,W
2016,HH,DJ,124,66,64,38,41,91,5.76,76,827,1,2,59,6.32,0,826,5109,1478,242,27,142,634,976,7,144,72,75,3,0.977,851417,0.988420581,0.998398941,24,3878,1520,155,634,976,124,229,66
2016,HT,GJ,136,49,101,50,45,87,4.97,59,705,7,5,54,5.54,0,803,4999,1429,264,28,170,561,965,5,144,72,73,1,0.979,682444,0.968570135,0.966442572,38,3828,1456,131,561,965,111,219,70
2016,KT,SW,115,55,96,46,45,48,5.92,84,838,1,2,45,6.55,0,672,4963,1369,214,11,116,560,980,10,144,72,89,2,0.976,549125,0.974651495,1.006297695,27,3819,1593,145,560,980,130,264,53
2016,LG,SO,80,49,121,70,54,72,5.04,109,721,2,5,56,5.64,0,786,5051,1464,238,26,118,539,909,4,144,72,71,2,0.981,782121,0.982177325,0.984621712,34,3863,1426,122,539,909,103,217,71
2016,LT,BS,90,59,145,64,41,83,5.63,78,792,2,5,52,6.15,0,777,5001,1439,252,20,127,585,1009,8,144,72,78,0,0.983,1157646,0.976492996,0.987212058,27,3799,1486,161,585,1009,91,229,66
2016,NC,MS,70,43,99,41,52,93,4.48,86,640,0,10,40,4.83,0,857,5007,1457,249,19,169,516,1147,2,144,72,58,3,0.981,865194,0.962746144,0.942484105,36,3859,1314,137,516,1147,100,221,83
2016,OB,SO,82,44,85,45,68,86,4.45,77,636,2,7,51,4.77,1,935,5044,1504,284,25,183,498,982,1,144,72,50,1,0.986,1165020,1.018589135,0.987209079,36,3863,1385,136,498,982,79,261,93
2016,SK,IC,106,64,89,60,47,102,4.87,76,689,1,5,48,5.54,0,753,5023,1464,234,19,182,527,945,6,144,72,75,0,0.978,660472,1.05887278,1.062769229,31,3822,1386,151,527,945,123,234,69
2016,SS,DG,115,58,104,50,55,75,5.64,87,804,2,4,43,6.1,0,852,5093,1492,249,34,142,518,935,9,144,72,78,1,0.983,852639,1.029008979,1.030987304,34,3847,1507,193,518,935,90,213,65
2016,WO,SO,98,60,154,83,59,63,4.96,68,705,0,4,59,5.32,0,813,4990,1464,254,39,134,435,895,3,144,72,66,1,0.983,773499,1.049196334,1.042615662,38,3841,1487,152,435,895,94,223,77
2017,HH,DJ,78,42,64,44,38,94,5.28,100,747,1,5,57,5.8,0,737,5030,1445,261,16,150,446,914,8,144,72,81,2,0.983,704857,0.985498518,0.99628483,31,3819,1474,166,446,914,91,127,61
2017,HT,GJ,69,45,76,34,56,89,4.79,77,687,5,5,46,5.18,1,906,5142,1554,292,29,170,434,985,1,144,72,56,1,0.982,686541,1.009721873,0.988871448,33,3870,1518,137,434,985,98,130,87
2017,KT,SW,109,43,86,51,45,66,5.75,95,803,4,7,49,6.28,0,655,4937,1360,274,17,119,433,913,10,144,72,94,0,0.979,531121,1.030386187,1.059457451,22,3768,1524,174,433,913,112,117,50
2017,LG,SO,62,37,77,56,55,101,4.3,102,611,4,6,54,4.76,0,699,4944,1390,216,20,110,379,1040,6,144,72,72,3,0.981,699380,0.916310446,0.91297957,32,3837,1305,124,379,1040,103,105,69
2017,LT,BS,87,45,92,44,32,112,4.56,79,652,1,10,50,4.9,0,743,4994,1425,250,17,151,477,1096,3,144,72,62,2,0.984,1134846,1.103649472,1.099268609,39,3862,1357,162,477,1096,86,112,80
2017,NC,MS,64,42,93,32,48,130,4.71,93,673,1,10,29,5.22,0,786,5079,1489,277,19,149,470,1097,4,144,72,62,3,0.98,892541,1.012657863,1.007356554,32,3854,1342,169,470,1097,108,116,79
2017,OB,SO,64,36,69,33,47,95,4.38,87,627,3,9,39,4.74,0,849,5102,1499,270,20,178,464,956,2,144,72,57,3,0.983,1094829,0.922012352,0.901126043,35,3864,1405,125,464,956,90,113,84
2017,SK,IC,80,39,53,42,41,113,5.02,105,709,2,4,36,5.43,0,761,4925,1337,222,15,234,481,940,5,144,72,68,1,0.98,593251,0.997974144,0.998743653,30,3812,1443,154,481,940,108,125,75
2017,SS,DG,64,35,98,37,55,70,5.88,118,837,1,3,59,6.4,0,757,5095,1419,255,36,145,548,1063,9,144,72,84,5,0.982,1038492,1.035185184,1.055320818,27,3844,1541,187,548,1063,95,128,55
2017,WO,SO,73,43,70,34,42,83,5.03,97,710,2,5,40,5.41,0,789,5098,1479,267,30,141,388,1005,7,144,72,73,2,0.983,1024830,1.003671049,1.000468973,40,3813,1488,149,388,1005,91,105,69
2018,HH,DJ,83,41,118,64,28,88,4.93,89,698,0,5,46,5.38,0,729,4972,1369,249,14,151,472,1124,3,144,72,67,0,0.981,752310,1.080426983,1.084429201,37,3822,1394,164,472,1124,99,0,77
2018,HT,GJ,95,40,88,37,50,99,5.4,69,763,4,5,51,5.85,0,865,5036,1487,258,22,170,445,1017,6,144,72,74,0,0.982,668559,0.936938434,0.931312451,26,3812,1511,181,445,1017,94,0,70
2018,KT,SW,99,42,80,57,26,46,5.34,84,756,4,5,43,5.89,0,757,5026,1382,264,13,206,409,1025,9,144,72,82,3,0.982,442872,1.054038267,1.063739813,24,3823,1580,194,409,1025,99,0,59
2018,LG,SO,100,41,71,38,51,75,5.29,89,746,3,7,50,5.79,0,788,5070,1487,299,12,148,453,1058,8,144,72,75,1,0.981,454754,0.925637354,0.928511291,29,3806,1434,159,453,1058,100,0,68
2018,LT,BS,101,41,68,32,37,81,5.37,73,766,0,6,43,5.93,0,821,5130,1484,289,17,203,548,1164,7,144,72,74,2,0.978,1108677,1.006867373,1.009867934,29,3851,1410,166,548,1164,117,0,68
2018,NC,MS,86,46,82,35,43,88,5.48,68,769,1,4,51,6.01,0,660,4895,1280,233,18,143,537,1010,10,144,72,85,1,0.98,1037211,1.002047711,1.025467751,24,3792,1443,186,537,1010,107,0,58
2018,OB,SO,68,43,96,23,63,92,4.98,109,713,1,9,43,5.28,0,944,5176,1601,284,30,191,476,1025,1,144,72,51,0,0.986,1112066,0.96706926,0.943865051,41,3866,1401,154,476,1025,77,0,93
2018,SK,IC,95,39,108,39,34,119,4.67,74,662,0,7,24,5.15,1,829,4992,1403,234,13,233,425,1130,2,144,72,65,1,0.978,734110,1.05650724,1.043757017,29,3824,1353,189,425,1130,116,0,78
2018,SS,DG,100,38,116,52,45,87,5.19,107,741,0,5,43,5.62,0,776,5109,1471,241,29,146,441,1114,5,144,72,72,4,0.985,901634,1.035695359,1.039052726,33,3856,1477,185,441,1114,79,0,68
2018,WO,SO,70,39,101,33,50,85,5.08,98,723,4,2,33,5.48,0,825,5141,1481,288,19,165,416,1021,4,144,72,69,0,0.981,861729,0.970097936,0.964562774,32,3846,1442,178,416,1021,106,0,75
2019,HH,DJ,104,49,105,51,45,70,4.8,72,677,2,8,44,5.23,0,605,4874,1286,248,19,76,526,934,9,144,72,86,0,0.98,691681,0.927827166,0.947702244,28,3806,1407,120,526,934,96,126,58
2019,HT,GJ,116,50,87,42,45,58,4.65,76,653,3,11,61,5.15,0,578,4919,1231,214,22,90,504,976,7,144,72,80,2,0.979,536735,1.023463151,1.042192308,30,3792,1362,101,504,976,102,107,62
2019,KT,SW,90,43,104,44,45,52,4.29,61,608,2,10,42,4.66,0,641,4928,1316,233,15,94,481,848,6,144,72,71,2,0.981,710274,0.909947769,0.911533046,37,3831,1303,118,481,848,96,114,71
2019,LG,SO,115,41,108,47,48,77,3.86,91,551,1,9,48,4.44,0,674,4968,1383,249,26,128,499,953,4,144,72,64,1,0.983,453886,1.003815856,1.002587618,43,3850,1257,89,499,953,107,115,79
2019,LT,BS,91,44,65,31,40,65,4.83,71,682,1,8,64,5.41,0,622,4866,1245,230,26,122,546,1033,10,144,72,93,3,0.979,1000400,0.979214482,1.007461988,16,3813,1407,120,546,1033,106,110,48
2019,NC,MS,64,49,87,45,60,83,4.01,92,572,5,8,54,4.42,0,736,4913,1364,235,31,84,483,991,5,144,72,69,2,0.982,982962,1.042203877,1.0358204,32,3853,1285,103,483,991,102,108,73
2019,OB,SO,96,32,102,38,83,72,3.51,70,500,3,10,53,3.86,1,607,4882,1250,223,16,88,380,860,2,144,72,55,1,0.985,983474,0.971573663,0.942932451,44,3851,1259,78,380,860,98,111,88
2019,SK,IC,105,31,118,50,38,87,3.48,50,500,0,19,44,3.8,0,650,4965,1375,187,20,103,436,1092,1,144,72,55,1,0.984,555225,1.069627431,1.05264367,51,3877,1240,99,436,1092,105,108,88
2019,SS,DG,90,38,107,42,53,78,4.64,70,658,4,8,56,5.16,0,655,4919,1290,218,14,117,523,924,8,144,72,83,1,0.98,679208,1.126533162,1.144107333,29,3826,1332,125,523,924,90,114,60
2019,WO,SO,92,46,110,33,48,69,3.61,58,513,2,12,39,4.03,0,780,4991,1405,251,38,112,371,984,3,144,72,57,1,0.982,692163,0.982167218,0.95084829,39,3837,1293,61,371,984,94,109,86
2020,HH,DJ,69,30,37,26,15,48,5.33,54,437,1,1,28,5.96,0,223,2156,517,91,3,35,259,490,10,144,30,48,0,0.978,NaN,0.969469729,1.016329378,7,1693,666,78,259,490,56,41,17
2020,HT,GJ,48,28,23,10,16,37,4.48,32,358,1,2,25,4.86,0,311,2097,578,98,4,66,189,460,5,144,31,29,0,0.983,NaN,1.178784778,1.17594941,13,1631,555,48,189,460,41,66,33
2020,KT,SW,37,11,57,29,25,25,4.94,35,402,0,2,28,5.32,0,366,2272,661,110,11,74,225,371,6,144,32,32,1,0.982,NaN,1.073605909,1.0671654,11,1708,628,64,225,371,42,59,31
2020,LG,SO,47,23,46,26,31,43,4.59,49,392,1,8,32,5.03,0,348,2211,617,109,11,60,204,451,3,144,35,29,1,0.986,NaN,0.933631561,0.915879397,13,1726,625,60,204,451,38,58,34
