도루_D,도루_R,방어율,자책,완투,실점,득점,타수,안타수,2루,3루,홈런,볼넷,삼진,이닝당아웃수,안타허용,홈런허용,볼넷허용,탈삼진,탈병살,실책,OPS,WHIP,W
0,2,3.0,4,0,4,5,42,9,2,0,1,4,10,36,13,0,3,10,1,0,0.6159420289855072,1.3333333333333333,1
2,0,3.176470588235294,4,0,5,4,46,13,2,0,0,3,11,34,9,1,4,11,0,2,0.6526175687666371,1.1470588235294117,0
0,0,4.0,4,0,4,5,30,9,2,0,2,5,10,27,8,1,3,10,1,1,0.9666666666666667,1.2222222222222223,1
0,0,5.625,5,0,5,4,34,8,3,0,1,3,9,24,9,2,5,9,1,0,0.7275541795665634,1.75,0
2,0,8.0,8,0,8,4,36,10,5,0,1,0,7,27,11,2,4,7,0,1,0.7777777777777778,1.6666666666666667,0
0,2,4.0,4,0,4,8,36,11,0,0,2,4,7,27,10,1,0,7,1,0,0.8531746031746031,1.1111111111111112,1
1,0,1.0,1,0,2,1,30,6,1,0,0,5,6,27,11,0,2,6,2,1,0.538888888888889,1.4444444444444444,0
0,1,0.0,0,0,1,2,37,11,2,0,0,2,6,27,6,0,5,6,0,1,0.6846846846846847,1.2222222222222223,1
2,1,4.0,4,0,5,1,32,8,0,0,0,2,3,27,8,2,3,3,1,2,0.5642857142857143,1.2222222222222223,0
1,2,1.0,1,0,1,5,31,8,0,0,2,3,6,27,8,0,2,6,2,0,0.7849462365591398,1.1111111111111112,1
0,1,5.7272727272727275,7,0,7,8,40,12,2,1,1,8,9,33,13,0,3,9,0,1,0.9035714285714285,1.4545454545454546,1
1,0,7.2,8,0,8,7,43,13,4,0,0,3,9,30,12,1,8,9,0,2,0.7703488372093024,2.0,0
1,1,4.0,4,0,4,3,33,7,1,0,1,2,8,27,8,1,5,8,0,0,0.6111111111111112,1.4444444444444444,0
1,1,3.0,3,0,3,4,33,8,2,0,1,5,5,27,7,1,2,5,1,0,0.7360446570972887,1.0,1
0,2,1.8,2,0,3,4,37,10,2,0,1,6,3,30,8,0,6,3,2,2,0.7917690417690417,1.4,1
2,0,3.8571428571428568,4,0,4,3,34,8,0,0,0,6,6,28,10,1,6,6,1,1,0.5852941176470587,1.7142857142857142,0
