1	두산	83	55	1	27	0.671	-	6.26	520	97	53	10.1	14.9	0.328	0.298	0.377	0.464	0.841	0.375	-
2	NC	77	47	2	28	0.627	-	6.29	484	96	45	10.8	17.1	0.328	0.290	0.375	0.456	0.831	0.370	-
3	Hero	85	48	1	36	0.571	-	5.74	488	77	87	9.8	17.6	0.340	0.292	0.367	0.439	0.806	0.361	-
4	SK	85	43	0	42	0.506	-	5.32	452	112	56	8.0	17.1	0.323	0.289	0.356	0.459	0.815	0.361	-
5	롯데	82	39	0	43	0.476	-	5.56	456	74	73	9.7	18.1	0.344	0.293	0.368	0.433	0.801	0.360	-
6	KIA	83	38	1	44	0.463	-	5.74	476	98	61	8.9	17.8	0.330	0.288	0.362	0.455	0.817	0.364	-
7	한화	81	34	3	44	0.436	-	5.24	424	83	44	8.8	17.9	0.329	0.283	0.356	0.427	0.783	0.351	-
8	LG	80	34	1	45	0.430	-	5.31	425	67	73	9.1	17.4	0.331	0.284	0.359	0.411	0.770	0.348	-
9	삼성	83	34	1	48	0.415	-	5.55	461	78	66	9.8	14.4	0.316	0.285	0.365	0.428	0.793	0.356	-
10	KT	81	32	2	47	0.405	-	5.01	406	72	65	9.4	16.4	0.312	0.274	0.347	0.396	0.743	0.336	-
전체	410	404	6	404	0.500	-	11.20	4592	854	623	9.4	16.9	0.328	0.288	0.363	0.437	0.800	0.358	-
