ID,parkalias,parkkey,parkname,city,state,country
1,3Com Park,SFO02,Candlestick Park,San Francisco,CA,US
2,Pacific Bell Park; SBC Park,SFO03,AT&T Park,San Francisco,CA,US
3,,SJU01,Estadio Hiram Bithorn,San Juan,,PR
4,Springfield Track,SPR01,Hampden Park Race Track,Springfield,MA,US
5,,STL01,Red Stockings Base Ball Park,St. Louis,MO,US
6,,STL02,Grand Avenue Park,St. Louis,MO,US
7,,STL03,Sportsman's Park I,St. Louis,MO,US
8,,STL04,Union Grounds,St. Louis,MO,US
9,,STL05,Robison Field,St. Louis,MO,US
10,,STL06,Sportsman's Park II,St. Louis,MO,US
11,Busch Stadium I,STL07,Sportsman's Park III,St. Louis,MO,US
12,Federal League Park,STL08,Handlan's Park,St. Louis,MO,US
13,,STL09,Busch Stadium II,St. Louis,MO,US
14,,STL10,Busch Stadium III,St. Louis,MO,US
15,,STP01,Tropicana Field,St. Petersburg,FL,US
16,,SYD01,Sydney Cricket Ground,Sydney,New South Wales,AU
17,Newell Park,SYR01,Star Park I,Syracuse,NY,US
18,,SYR02,Star Park II,Syracuse,NY,US
19,,SYR03,Iron Pier,Syracuse,NY,US
20,,THR01,Three Rivers Park,Three Rivers,NY,US
21,,TOK01,Tokyo Dome,Tokyo,Tokyo,JP
22,,TOL01,League Park,Toledo,OH,US
23,,TOL02,Tri-State Fair Grounds,Toledo,OH,US
24,,TOL03,Speranza Park,Toledo,OH,US
25,,TOL04,Armory Park,Toledo,OH,US
26,,TOR01,Exhibition Stadium,Toronto,ON,CA
27,Skydome,TOR02,Rogers Centre,Toronto,ON,CA
28,,TRO01,Haymakers' Grounds,Troy,NY,US
29,,TRO02,Putnam Grounds,Troy,NY,US
30,,WAR01,Rocky Point Park,Warwick,RI,US
31,,WAS01,Olympic Grounds,Washington,DC,US
32,,WAS02,National Grounds,Washington,DC,US
33,,WAS03,Capitol Grounds,Washington,DC,US
34,,WAS04,Athletic Park,Washington,DC,US
35,,WAS05,Swampoodle Grounds,Washington,DC,US
36,,WAS06,Boundary Field,Washington,DC,US
37,,WAS07,American League Park I,Washington,DC,US
38,,WAS08,American League Park II,Washington,DC,US
39,,WAS09,Griffith Stadium,Washington,DC,US
40,D.C. Stadium,WAS10,Robert F. Kennedy Stadium,Washington,DC,US
41,,WAS11,Nationals Park,Washington,DC,US
42,,WAT01,Troy Ball Club Grounds,Watervliet,NY,US
43,,WAV01,Waverly Fairgrounds,Waverly,NJ,US
44,,WEE01,Monitor Grounds,Weehawken,NJ,US
45,,WHE01,Island Grounds,Wheeling,WV,US
46,,WIL01,Union Street Park,Wilmington,DE,US
47,,WNY01,West New York Field Club Grounds,West New York,NJ,US
48,,WOR01,Agricultural County Fair Grounds I,Worcester,MA,US
49,,WOR02,Agricultural County Fair Grounds II,Worcester,MA,US
50,,WOR03,Worcester Driving Park Grounds,Worcester,MA,US
51,,ALB01,Riverside Park,Albany,NY,US
52,,ALT01,Columbia Park,Altoona,PA,US
53,Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
54,,ARL01,Arlington Stadium,Arlington,TX,US
55,The Ballpark in Arlington; Ameriquest Field,ARL02,Rangers Ballpark in Arlington,Arlington,TX,US
56,,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
57,,ATL02,Turner Field,Atlanta,GA,US
58,,BAL01,Madison Avenue Grounds,Baltimore,MD,US
59,,BAL02,Newington Park,Baltimore,MD,US
60,,BAL03,Oriole Park I,Baltimore,MD,US
61,,BAL04,Belair Lot,Baltimore,MD,US
62,,BAL05,Monumental Park,Baltimore,MD,US
63,,BAL06,Oriole Park II,Baltimore,MD,US
64,,BAL07,Oriole Park III,Baltimore,MD,US
65,American League Park,BAL09,Oriole Park IV,Baltimore,MD,US
66,Oriole Park V,BAL10,Terrapin Park,Baltimore,MD,US
67,,BAL11,Memorial Stadium,Baltimore,MD,US
