Rank,Team,HRA_RT,GAME_CN,PA_CN,AB_CN,RUN_CN,HIT_CN,H2_CN,H3_CN,HR_CN,TB_CN,RBI_CN,SH_CN,SF_CN
1,µÎ»ê,0.299,93,3758,3302,545,987,166,13,88,1443,521,22,48
2,NC,0.291,89,3599,3170,559,921,171,16,121,1487,537,29,28
3,LG,0.284,94,3695,3268,547,929,160,22,104,1445,524,28,32
4,KT,0.284,90,3564,3146,499,894,154,13,104,1386,465,32,26
5,·Ôµ¥,0.274,88,3456,3044,445,834,158,4,71,1213,419,28,29
6,Å°¿ò,0.274,96,3814,3292,531,901,168,19,98,1401,498,31,38
7,KIA,0.271,90,3484,3058,449,828,135,6,86,1233,429,38,17
8,»ï¼º,0.268,93,3565,3144,452,844,152,6,83,1257,429,30,35
9,SK,0.252,93,3554,3118,405,787,111,12,89,1189,386,32,24
10,ÇÑÈ­,0.236,92,3460,3056,327,722,119,7,48,999,308,27,18
