Rank,Team,GAME_CN,ERR_CN,POFF_CN,PO_CN,ASS_CN,GDP_CN,FPCT_RT,PB_CN,SB_CN,CS_CN,CS_RT
1,Å°¿ò,96,71,12,2562,1018,96,0.981,6,59,26,30.6
2,LG,94,49,5,2517,930,86,0.986,5,50,24,32.4
3,µÎ»ê,93,59,5,2493,840,87,0.983,4,59,14,19.2
4,»ï¼º,93,68,4,2448,864,91,0.980,2,37,24,39.3
5,SK,93,65,4,2435,847,90,0.981,2,89,34,27.6
6,ÇÑÈ­,92,72,3,2419,830,90,0.978,7,76,32,29.6
7,NC,89,47,5,2411,802,81,0.986,2,32,31,49.2
8,KT,90,62,4,2409,925,96,0.982,8,42,12,22.2
9,KIA,90,62,6,2364,954,111,0.982,4,55,29,34.5
10,·Ôµ¥,88,46,1,2353,898,86,0.986,4,62,17,21.5
