Rank,Team,ERA_RT,CG_CN,SHO_CN,QS_CN,BS_CN,PA_CN,PIT_CN,OAVG_RT,H2_CN,H3_CN,SH_CN,SF_CN,IB_CN,WP_CN,BK_CN
1,Å°¿ò,4.39,0,2,37,13,3676,14129,0.269,133,11,29,24,6,32,7
2,LG,4.48,1,9,47,11,3675,13987,0.269,160,10,25,36,7,30,3
3,·Ôµ¥,4.54,1,10,36,11,3385,13077,0.269,145,5,29,35,10,45,2
4,NC,4.69,0,5,45,14,3499,13743,0.260,130,7,32,22,7,42,5
5,µÎ»ê,4.72,1,3,43,11,3731,14552,0.287,188,17,30,32,15,36,4
6,KIA,4.73,1,2,37,9,3448,13420,0.278,158,23,38,30,3,41,4
7,KT,4.73,0,3,37,16,3535,13469,0.272,127,5,24,30,12,38,1
8,»ï¼º,4.74,2,9,31,11,3603,14143,0.268,144,12,27,33,9,33,2
9,ÇÑÈ­,5.41,1,2,27,11,3702,14636,0.287,158,16,38,28,19,50,4
10,SK,5.43,1,2,32,14,3695,14572,0.277,151,12,25,25,5,62,4
