¼øÀ§,ÆÀ¸í,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,µÎ»ê,0.300,345,14,47,543,92,0.440,0.369,0.809,94,0.306,0.244
2,NC,0.290,313,9,62,623,67,0.469,0.362,0.831,90,0.333,0.294
3,LG,0.284,322,13,50,637,78,0.441,0.354,0.795,95,0.331,0.193
4,KT,0.283,334,9,30,698,67,0.439,0.354,0.793,91,0.275,0.206
5,·Ôµ¥,0.275,320,13,38,535,84,0.400,0.347,0.747,89,0.273,0.219
6,Å°¿ò,0.274,408,12,52,679,77,0.427,0.359,0.786,97,0.291,0.283
7,KIA,0.272,332,5,43,635,68,0.406,0.349,0.755,91,0.289,0.244
8,»ï¼º,0.268,309,7,47,632,73,0.400,0.339,0.739,93,0.276,0.255
9,SK,0.253,342,9,47,648,78,0.384,0.333,0.717,94,0.251,0.230
10,ÇÑÈ­,0.236,306,4,53,684,86,0.327,0.315,0.642,92,0.232,0.203
