¼øÀ§,ÆÀ¸í,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,Å°¿ò,4.39,97,58,39,28,61,0.598,863,898,90,278,51,641,458,421,1.36
2,LG,4.48,95,54,40,20,41,0.574,850,879,88,309,55,685,464,423,1.40
3,·Ôµ¥,4.57,89,45,43,14,43,0.511,793,821,92,285,33,597,438,403,1.39
4,µÎ»ê,4.71,94,52,40,17,33,0.565,840,960,73,323,41,615,495,440,1.53
5,KT,4.73,91,48,42,20,45,0.533,813,860,82,330,39,547,461,428,1.46
6,»ï¼º,4.74,93,42,50,18,58,0.457,816,842,95,354,48,569,484,430,1.47
7,KIA,4.75,91,47,44,20,46,0.516,797,856,74,315,37,674,467,421,1.47
8,NC,4.76,90,54,34,18,41,0.614,812,816,98,333,49,649,454,430,1.41
9,ÇÑÈ­,5.41,92,26,65,13,31,0.286,806,915,114,384,60,687,544,485,1.61
10,SK,5.49,94,32,61,14,38,0.344,820,892,102,420,56,650,551,501,1.60
