¼øÀ§,ÆÀ¸í,ERA,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,Å°¿ò,4.39,0,2,37,13,3716,14258,0.269,135,11,29,24,6,32,7
2,LG,4.48,1,9,47,11,3715,14151,0.267,161,10,25,36,7,30,3
3,·Ôµ¥,4.57,1,10,36,12,3429,13273,0.270,148,5,29,36,11,46,2
4,µÎ»ê,4.71,1,3,44,11,3770,14697,0.287,189,18,30,32,15,37,4
5,KT,4.73,0,3,38,17,3582,13646,0.272,130,5,25,31,13,40,1
6,»ï¼º,4.74,2,9,31,11,3603,14143,0.268,144,12,27,33,9,33,2
7,KIA,4.75,1,2,38,9,3492,13600,0.279,160,25,40,30,3,42,4
8,NC,4.76,0,5,45,14,3551,13940,0.262,131,7,32,22,7,42,5
9,ÇÑÈ­,5.41,1,2,27,11,3702,14636,0.287,158,16,38,28,19,50,4
10,SK,5.49,1,2,32,14,3740,14765,0.278,151,12,27,25,5,63,5
