¼øÀ§,ÆÀ¸í,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
7,KIA,0.272,91,3529,3097,460,841,135,6,90,1258,440,40,17
4,KT,0.28300000000000003,91,3604,3182,504,899,155,13,106,1398,470,32,26
3,LG,0.284,95,3742,3308,553,941,163,22,104,1460,529,29,33
2,NC,0.29,90,3638,3205,563,931,172,17,122,1503,540,29,28
9,SK,0.253,94,3598,3151,413,798,113,14,90,1209,393,34,24
1,µÎ»ê,0.3,94,3810,3348,556,1005,167,13,92,1474,532,22,48
5,·Ôµ¥,0.275,89,3496,3081,449,846,160,4,73,1233,423,28,29
8,»ï¼º,0.268,93,3565,3144,452,844,152,6,83,1257,429,30,35
6,Å°¿ò,0.27399999999999997,97,3858,3328,539,912,171,19,100,1421,505,31,39
10,ÇÑÈ­,0.23600000000000002,92,3460,3056,327,722,119,7,48,999,308,27,18
