Rank,Team,ERA_RT,GAME_CN,W_CN,L_CN,SV_CN,HOLD_CN,WRA_RT,INN2_CN,HIT_CN,HR_CN,BB_CN,HP_CN,KK_CN,R_CN,ER_CN,WHIP_RT
1,Å°¿ò,4.39,96,57,39,27,61,0.594,854 1/3,886,88,276,50,638,454,417,1.36
2,LG,4.48,94,53,40,20,41,0.570,839 1/3,874,86,306,54,672,459,418,1.41
3,·Ôµ¥,4.54,88,45,42,14,42,0.517,784 1/3,810,90,278,33,590,430,396,1.39
4,NC,4.69,89,54,33,18,41,0.621,803 2/3,798,94,329,47,645,443,419,1.40
5,µÎ»ê,4.72,93,51,40,17,33,0.560,831,950,72,319,41,611,491,436,1.53
6,KIA,4.73,90,46,44,19,45,0.511,788,845,73,309,34,664,459,414,1.46
7,KT,4.73,90,48,41,20,44,0.539,803,848,82,326,38,541,455,422,1.46
8,»ï¼º,4.74,93,42,50,18,58,0.457,816 1/3,842,95,354,48,569,484,430,1.47
9,ÇÑÈ­,5.41,92,26,65,13,31,0.286,806 1/3,915,114,384,60,687,544,485,1.61
10,SK,5.43,93,32,60,14,38,0.348,811 2/3,879,98,416,56,642,540,490,1.60
