yearID,T_ID,gameNO,GDAY_DS,VS_T_ID,HEADER_NO,TB_SC,CG_CK,HOLD,INN2,BF,PA_P,AB_P,HIT_P,H2_P,H3_P,HR_P,SB_P,CS_P,SH_P,SF_P,BB_P,IB_P,HP_P,KK_P,GD_P,WP_P,BK_P,ERR_P,R_P,ER_P,P_WHIP_RT_P,P2_WHIP_RT_P,CB_WHIP_RT_P,PA_B,AB_B,RBI_B,RUN_B,HIT_B,H2_B,H3_B,HR_B,SB_B,CS_B,SH_B,SF_B,BB_B,IB_B,HP_B,KK_B,GD_B,ERR_B,LOB_B,P_HRA_RT_B,P_AB_CN_B,P_HIT_CN_B,WLS
2016,HH,114,20160826,NC,0,B,0,1,27,169,38,34,7,2,0,1,0,1,0,0,4,0,0,13,1,1,0,0,4,3,1.8,1.8,1.0,37,31,6,7,9,1,0,1,2,0,0,1,5,0,0,9,0,2,6,0.571428571,7,4,W
2016,HH,115,20160827,SK,0,T,0,0,27,134,39,36,12,2,1,1,0,0,0,0,3,0,0,8,2,0,0,0,4,4,1.0,0.0,1.875,43,41,11,12,14,3,0,1,0,0,0,0,1,0,1,8,0,1,4,0.466666667,15,7,W
2016,HH,116,20160828,SK,0,T,0,0,27,134,34,30,5,0,0,1,1,0,0,0,4,0,0,9,1,0,0,0,1,1,1.0,0.666666667,3.0,42,39,9,9,13,0,0,2,1,0,1,0,2,0,0,6,0,0,6,0.272727273,11,3,W
2016,HH,117,20160830,OB,0,T,0,0,24,162,41,34,13,4,0,3,1,1,1,1,5,0,0,6,1,0,0,0,11,11,1.875,1.95,3.0,40,33,4,4,10,3,0,0,0,0,2,0,4,0,1,9,2,1,9,0.166666667,12,2,L
2016,HH,118,20160901,LG,0,B,0,0,27,158,37,32,8,2,0,0,0,0,0,2,3,0,0,12,0,1,0,0,7,6,2.4,1.714285714,3.0,34,27,2,2,3,0,0,0,0,1,0,0,5,0,2,9,1,1,5,0.4,5,2,L
2016,HH,119,20160902,LG,0,B,0,0,27,166,40,36,11,1,1,1,0,0,0,0,4,0,0,12,1,0,0,0,6,5,0.857142857,2.0625,2.625,41,30,10,11,8,2,0,2,0,1,1,2,6,0,2,2,0,1,6,0.428571429,7,3,W
2016,HH,120,20160903,WO,0,T,0,0,33,206,55,48,17,2,0,2,1,0,1,0,5,1,1,11,1,1,0,0,11,11,3.0,2.142857143,2.666666667,59,51,13,13,22,2,0,1,0,0,2,1,3,0,2,11,1,0,13,0.421052632,19,8,W
2016,HH,121,20160904,WO,0,T,0,0,24,131,40,36,15,3,0,1,2,1,0,0,4,0,0,6,2,1,0,0,7,7,3.0,2.823529412,3.428571429,38,35,5,5,10,4,0,1,0,0,0,0,3,0,0,10,0,0,6,0.5,8,4,L
2016,HH,122,20160906,NC,0,T,0,0,26,192,44,36,12,2,0,1,0,0,0,0,7,2,1,5,2,0,0,0,7,7,2.1,1.5,2.625,44,39,6,6,15,0,0,1,0,0,2,0,1,0,2,9,0,0,11,0.3,10,3,L
2016,HH,123,20160907,NC,0,T,0,0,24,124,33,29,9,1,0,1,0,1,1,0,1,0,2,9,2,0,0,0,1,1,0.0,1.25,1.0,34,30,0,0,5,0,0,0,0,1,1,0,3,0,0,7,0,0,7,0.2,5,1,L
2016,HH,124,20160908,KT,0,B,0,0,27,155,39,34,11,1,0,2,0,1,1,0,4,0,0,3,1,0,0,0,3,3,1.5,1.730769231,3.0,39,31,4,4,7,2,0,0,0,0,1,0,5,0,2,9,0,0,10,0.375,8,3,W
2016,HH,125,20160909,KT,0,B,0,0,27,129,35,33,6,1,0,0,0,0,1,0,1,0,0,5,0,1,0,0,1,1,1.5,0.777777777999999,1.0,37,35,2,2,10,0,0,1,0,0,1,0,0,0,1,8,0,1,10,0.2,5,1,W
2016,HH,126,20160910,SK,0,B,0,0,27,110,31,30,6,0,0,0,0,2,0,0,1,0,0,6,2,0,0,0,0,0,0.0,0.666666667,1.125,47,40,13,14,16,1,0,2,0,0,2,0,5,1,0,4,0,1,9,0.388888888999999,18,7,W
2016,HH,127,20160911,SK,0,B,0,2,27,167,43,36,12,0,0,2,0,0,2,0,4,0,1,8,1,1,0,0,6,5,1.5,1.636363636,2.625,36,34,7,7,10,0,0,2,1,0,0,0,2,1,0,10,0,3,5,0.5,8,4,W
2016,HH,128,20160913,SS,0,T,0,0,36,217,56,45,12,1,0,1,1,0,2,0,9,1,0,7,2,0,0,1,6,4,0.8,1.583333333,1.5,53,45,7,7,10,3,1,0,0,0,1,1,6,1,0,13,1,1,10,0.153846154,13,2,W
2016,HH,129,20160914,SS,0,T,0,1,24,144,39,33,13,2,0,4,0,0,2,1,3,0,0,2,1,0,0,0,9,8,1.0,2.4,3.0,39,34,4,6,9,1,0,1,0,0,1,0,1,0,3,2,2,1,6,0.333333333,9,3,L
