yearID,T_ID,gameNO,GDAY_DS,VS_T_ID,HEADER_NO,TB_SC,CG_CK,HOLD,INN2,BF,PA_P,AB_P,HIT_P,H2_P,H3_P,HR_P,SB_P,CS_P,SH_P,SF_P,BB_P,IB_P,HP_P,KK_P,GD_P,WP_P,BK_P,ERR_P,R_P,ER_P,P_WHIP_RT_P,P2_WHIP_RT_P,CB_WHIP_RT_P,PA_B,AB_B,RBI_B,RUN_B,HIT_B,H2_B,H3_B,HR_B,SB_B,CS_B,SH_B,SF_B,BB_B,IB_B,HP_B,KK_B,GD_B,ERR_B,LOB_B,P_HRA_RT_B,P_AB_CN_B,P_HIT_CN_B,WLS
2018,HH,1,20180324,WO,0,T,0,0,24,173,41,37,12,3,0,1,2,0,0,0,4,0,0,10,0,2,0,0,6,5,1.75,3.0,2.25,38,37,2,3,13,0,1,0,1,0,0,0,1,0,0,9,0,1,8,0.230769231,13,3,L
2018,HH,2,20180325,WO,0,T,0,1,27,138,33,31,5,1,0,1,0,0,0,0,1,0,1,11,0,0,0,0,1,1,0.0,0.692307692,0.666666667,39,36,4,4,11,3,0,1,2,1,0,0,1,0,2,9,1,0,8,0.272727273,11,3,W
2018,HH,3,20180327,NC,0,T,0,0,24,153,38,32,9,1,0,2,0,0,0,1,3,0,2,8,0,3,0,0,9,6,1.5,3.0,1.125,41,34,6,6,10,0,0,2,0,0,0,0,5,0,2,6,2,1,8,0.4,5,2,L
2018,HH,4,20180328,NC,0,T,0,0,27,139,34,30,5,2,0,0,0,0,0,0,3,0,1,4,2,0,0,0,2,2,1.0,0.857142857,1.714285714,41,37,6,6,10,1,0,1,3,0,0,0,4,0,0,5,0,0,8,0.5,8,4,W
2018,HH,5,20180329,NC,0,T,0,3,24,143,37,32,10,0,0,1,1,1,0,1,1,0,3,7,1,1,0,0,4,0,0.75,1.30434782599999,0.857142857,35,33,1,1,6,2,0,0,0,0,0,0,2,0,0,4,1,2,7,0.166666667,6,1,L
2018,HH,6,20180330,SK,0,B,0,0,27,186,39,33,6,0,0,2,0,0,0,0,6,0,0,15,0,2,0,0,8,7,3.6,1.714285714,3.5,36,34,3,4,9,1,0,1,0,3,0,0,2,0,0,9,0,1,5,0.1,10,1,L
2018,HH,7,20180331,SK,0,B,0,0,27,167,45,38,13,2,0,3,0,0,0,0,5,1,2,7,3,0,0,0,12,11,3.0,4.5,1.66666666699999,37,33,1,1,8,1,1,1,0,0,0,0,3,0,1,10,2,1,9,0.0,8,0,L
2018,HH,8,20180401,SK,0,B,0,0,27,185,49,42,15,3,0,6,1,0,0,1,6,0,0,5,0,0,0,0,13,13,2.0,3.0,2.1,31,31,1,1,4,0,0,1,0,0,0,0,0,0,0,10,0,1,3,0.0,1,0,L
2018,HH,9,20180403,LT,0,B,0,1,27,194,48,42,15,3,0,1,0,0,0,0,5,0,1,11,1,0,0,0,11,9,3.0,1.5,2.25,46,33,14,17,11,3,0,2,2,0,1,3,8,1,1,5,0,2,5,0.5,12,6,W
2018,HH,10,20180404,LT,0,B,0,2,27,164,42,37,12,1,0,2,0,1,0,1,2,0,2,8,0,0,0,0,6,5,1.5,1.375,1.66666666699999,39,31,5,7,10,2,1,0,0,1,0,0,6,0,2,10,3,1,8,0.3,10,3,W
2018,HH,11,20180407,KT,0,T,0,0,24,193,42,31,10,4,0,0,1,1,0,0,10,0,1,9,2,2,0,0,10,10,5.0,2.29411764699999,1.363636364,36,35,1,2,8,2,1,0,1,0,0,0,1,0,0,10,1,1,7,0.222222222,9,2,L
2018,HH,12,20180408,KT,0,T,0,0,30,199,47,40,10,1,0,2,1,0,0,0,7,0,0,6,0,0,0,0,8,8,2.57142857099999,1.875,2.625,49,41,10,12,14,2,0,1,2,1,0,1,7,1,0,12,1,0,7,0.4,10,4,W
2018,HH,13,20180410,HT,0,B,0,0,27,118,34,33,8,1,1,0,0,0,0,0,1,0,0,4,2,0,0,0,3,3,1.2,1.0,0.545454545,36,30,4,4,7,0,0,2,1,0,0,0,4,0,2,8,0,0,8,0.0,5,0,W
2018,HH,14,20180411,HT,0,B,0,1,27,149,37,33,7,0,0,1,1,0,1,0,3,0,0,10,1,1,0,0,4,4,0.75,1.111111111,1.5,37,31,6,6,11,1,0,0,2,1,0,1,3,0,2,3,0,1,7,0.416666667,12,5,W
2018,HH,15,20180412,HT,0,B,0,0,27,164,37,34,7,0,0,2,1,0,0,0,3,0,0,11,0,2,0,0,4,4,0.857142857,2.0,1.0,44,40,15,15,17,6,0,2,0,0,0,0,3,0,1,7,1,0,5,0.5,18,9,W
2018,HH,16,20180413,SS,0,B,0,0,27,179,42,39,11,1,0,0,1,0,0,1,2,0,0,8,0,0,0,0,4,3,2.0,1.578947368,2.0,35,32,2,2,5,1,0,0,0,0,0,0,3,0,0,6,0,3,6,0.25,8,2,L
2018,HH,17,20180414,SS,0,B,0,0,27,174,39,33,6,1,0,1,1,0,0,0,5,0,1,9,0,0,0,0,2,2,0.6,1.5,0.9,45,42,14,14,17,3,0,4,0,0,0,0,2,0,1,7,0,0,7,0.466666667,15,7,W
2018,HH,18,20180415,SS,0,B,0,2,27,147,37,34,11,2,0,1,0,0,1,0,2,0,0,2,2,0,0,0,4,4,0.818181818,2.18181818199999,0.545454545,40,32,6,7,10,0,0,0,1,1,0,1,6,0,1,4,1,0,9,0.266666666999999,15,4,W
2018,HH,19,20180417,OB,0,T,0,2,27,148,33,32,7,2,0,0,0,0,0,0,1,0,0,9,1,0,0,0,2,2,0.75,0.5,0.230769231,39,35,5,5,12,3,0,2,0,3,0,1,3,0,0,9,0,0,7,0.25,4,1,W
2018,HH,20,20180418,OB,0,T,0,0,24,133,38,32,7,2,0,0,1,0,0,0,6,0,0,12,0,0,0,0,5,3,3.0,1.625,3.0,43,37,4,4,13,2,0,1,1,0,0,0,4,0,2,12,1,1,12,0.25,12,3,L
2018,HH,21,20180419,OB,0,T,0,0,24,158,38,34,11,1,0,0,0,0,0,1,3,0,0,8,0,0,0,0,5,5,1.714285714,2.1,3.0,36,33,2,2,7,2,0,0,1,1,0,0,3,0,0,10,0,0,7,0.111111111,9,1,L
2018,HH,22,20180420,WO,0,B,0,0,27,158,42,37,13,2,1,2,0,0,0,0,4,0,1,7,2,0,0,0,6,6,1.5,2.25,1.8,36,35,1,1,8,3,0,0,0,0,0,0,0,0,1,5,0,1,8,0.142857143,7,1,L
2018,HH,23,20180421,WO,0,B,0,0,27,160,39,34,9,1,0,0,1,0,0,1,4,0,0,8,1,2,0,0,4,3,2.5,2.076923077,1.66666666699999,35,33,3,3,8,2,0,1,1,0,0,0,2,0,0,4,2,0,5,0.333333333,6,2,L
2018,HH,24,20180422,WO,0,B,0,0,27,169,45,42,15,3,0,2,0,0,0,0,3,0,0,7,0,0,0,1,10,10,5.25,3.0,1.09090909099999,30,30,0,1,5,1,0,0,1,0,0,0,0,0,0,8,2,0,2,0.25,4,1,L
2018,HH,25,20180425,HT,0,T,0,0,27,128,35,35,7,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,2,2.0,0.777777777999999,1.125,36,34,3,3,6,1,0,1,0,0,0,0,2,0,0,7,0,1,6,0.25,4,1,W
2018,HH,26,20180426,HT,0,T,0,0,27,143,39,36,10,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,1,1,0.5,1.333333333,1.0,37,34,2,3,7,1,0,0,0,0,0,0,3,0,0,9,0,1,7,0.166666667,6,1,W
2018,HH,27,20180427,LT,0,T,0,0,24,145,37,32,9,1,0,0,0,0,0,1,3,0,1,8,0,0,1,1,5,5,2.25,1.5,3.0,38,38,3,3,12,0,0,1,0,0,0,0,0,0,0,6,1,0,8,0.111111111,9,1,L
2018,HH,28,20180428,LT,0,T,0,1,27,134,38,36,9,1,0,1,0,0,0,0,2,0,0,7,1,0,0,0,2,1,1.0,1.333333333,1.5,36,29,3,4,6,2,0,0,2,1,1,1,3,1,2,9,0,2,5,0.25,8,2,W
2018,HH,29,20180429,LT,0,T,0,0,24,129,37,31,7,2,0,1,0,0,0,1,2,0,3,7,0,0,0,0,4,4,0.6,1.125,5.25,41,37,3,3,12,2,0,1,0,1,0,0,4,1,0,7,1,1,11,0.066666667,15,1,L
2018,HH,30,20180501,LG,0,B,0,2,27,164,39,35,9,1,0,1,0,0,0,1,3,0,0,7,2,0,0,0,5,4,0.75,1.153846154,1.66666666699999,39,34,6,6,11,0,1,3,0,1,1,0,3,0,1,6,1,2,9,0.111111111,9,1,W
2018,HH,31,20180502,LG,0,B,0,0,27,127,33,33,7,0,0,1,0,1,0,0,0,0,0,7,0,0,0,0,3,3,0.0,0.777777777999999,0.6,36,34,4,4,9,3,0,1,1,0,0,0,2,0,0,11,0,0,7,0.3,10,3,W
2018,HH,32,20180503,LG,0,B,0,0,27,141,37,34,10,1,0,2,1,0,1,0,2,0,0,8,0,0,0,0,3,3,0.75,1.0,1.5,36,31,6,7,11,2,0,1,0,0,1,1,3,1,0,3,2,0,5,0.444444444,9,4,W
2018,HH,33,20180504,SS,0,T,0,0,27,185,40,37,11,4,0,1,1,0,0,0,2,0,1,5,2,0,0,0,6,4,1.5,2.142857143,1.333333333,44,37,8,9,13,4,0,2,1,0,0,1,5,0,1,3,3,1,8,0.333333333,15,5,W
2018,HH,34,20180505,SS,0,T,0,0,24,163,38,33,10,4,0,2,1,1,0,0,5,0,0,7,0,0,0,0,8,8,3.75,2.625,3.0,36,35,3,3,9,2,0,0,0,1,0,0,0,0,1,9,0,0,6,0.375,8,3,L
2018,HH,35,20180508,WO,0,T,0,0,27,204,49,42,15,3,0,1,4,0,0,1,5,1,1,14,0,1,1,1,9,7,2.727272727,2.318181818,3.375,42,41,10,10,15,3,0,2,0,0,0,0,0,0,1,8,1,0,5,0.428571429,14,6,W
2018,HH,36,20180509,WO,0,T,0,2,27,154,36,33,8,1,0,0,0,1,0,0,2,0,1,9,0,1,0,0,1,1,1.0,1.142857143,2.57142857099999,37,33,4,4,7,1,0,2,0,0,1,0,3,0,0,5,0,0,6,0.166666667,6,1,W
2018,HH,37,20180510,WO,0,T,0,2,27,140,36,35,9,0,0,1,1,0,0,0,0,0,1,8,1,1,0,0,1,1,0.0,1.0,0.3,39,36,2,3,10,1,1,0,0,1,0,0,2,0,1,8,1,0,9,0.4,10,4,W
2018,HH,38,20180511,NC,0,B,0,0,33,169,43,38,7,2,0,2,0,1,1,0,2,0,2,9,0,0,0,0,4,4,3.0,0.818181818,1.2,44,41,2,2,9,1,0,1,0,1,0,0,3,0,0,9,0,0,9,0.0,4,0,L
