CG_CK,HOLD,INN2,BF,PA_P,AB_P,HIT_P,H2_P,H3_P,HR_P,SB_P,CS_P,SH_P,SF_P,BB_P,IB_P,HP_P,KK_P,GD_P,WP_P,BK_P,ERR_P,R_P,ER_P,P_WHIP_RT_P,P2_WHIP_RT_P,CB_WHIP_RT_P,PA_B,AB_B,RBI_B,RUN_B,HIT_B,H2_B,H3_B,HR_B,SB_B,CS_B,SH_B,SF_B,BB_B,IB_B,HP_B,KK_B,GD_B,ERR_B,LOB_B,P_HRA_RT_B,P_AB_CN_B,P_HIT_CN_B,Post_WLS
1,43,3026,16543,4368,3836,1001,184,19,70,101,31,31,42,392,10,67,746,90,54,1,18,519,449,167.14078421799996,185.6462937700001,177.59722777099992,4355,3867,473,506,1031,182,12,71,80,39,41,39,350,13,58,736,94,54,828,26.412274812000003,992,265,18
1,36,3003,17390,4554,3946,1129,192,18,100,70,34,52,52,447,28,57,811,83,90,3,10,636,571,200.148992672,237.372242668,212.43430735999982,4384,3892,473,503,1000,166,21,73,59,25,33,35,368,12,56,854,77,81,839,27.29937584099999,1027,266,6
1,50,3013,16267,4299,3832,1003,194,18,60,78,26,33,43,330,21,61,656,93,38,3,15,442,397,149.64837270899994,171.8731337789999,195.47996170199988,4433,3820,530,563,1047,192,24,67,70,29,27,69,458,13,59,653,101,54,890,29.16718617899999,1011,275,21
2,32,2977,17162,4458,3912,1124,185,17,97,78,40,36,37,410,5,62,732,95,55,4,15,604,556,198.03171411900001,235.24355138699994,215.8203796209999,4321,3843,467,503,982,180,13,77,88,39,34,34,356,11,54,864,94,71,783,27.144284148999994,956,252,15
1,48,2997,16258,4355,3835,1031,190,21,92,70,37,37,37,395,17,51,644,92,38,6,8,544,500,170.52514985000002,180.591263724,190.64478021699992,4389,3903,484,512,1083,150,15,76,75,36,39,39,370,11,38,764,87,74,874,28.10102512499999,1027,282,17
2,69,3012,16019,4298,3878,1032,194,20,52,74,35,36,31,306,2,47,790,85,38,4,9,483,435,176.89641583799997,159.37588376999992,192.74285714299978,4432,3911,596,626,1110,200,35,88,84,29,27,41,400,11,53,744,90,72,840,31.84341009999999,1097,332,19
2,48,2988,16850,4430,3879,1066,198,22,87,90,36,27,51,413,17,60,773,83,46,2,14,574,524,177.61650433099985,199.52416996899987,210.42359307399994,4364,3831,467,502,1024,207,16,61,69,32,29,38,420,13,46,728,81,61,874,27.379331277999995,1039,274,13
2,52,3027,16857,4400,3853,1011,159,16,77,53,39,33,47,395,9,72,785,87,54,2,13,516,464,175.12243590000003,176.22547021299997,196.57742257899977,4444,3920,518,547,1091,201,19,102,64,35,43,46,370,11,65,706,105,68,867,26.558843670999995,1012,276,17
4,49,3013,17099,4425,3885,1042,199,28,97,74,32,25,48,413,8,54,749,93,39,5,7,573,516,184.99638694699996,219.70802912400003,212.9805777539998,4385,3843,481,501,1000,183,22,99,89,32,51,42,382,14,67,766,87,73,844,24.448900252999994,982,250,13
0,74,3063,16678,4324,3870,971,141,10,77,77,24,38,28,348,10,40,888,83,38,0,5,418,379,164.2964119229999,158.625552338,199.3474109229999,4401,3904,518,542,1037,179,13,92,91,40,22,31,369,17,74,756,69,62,842,29.83170971899999,989,286,14
